step;Mes;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess;HH
496;21;22;3;22;31;2647717;233;8.7
497;21;23;1;0;30;48236;1500;8.7
498;21;23;1;1;30;121767;1400;8.7
499;21;23;1;2;30;240702;1400;8.7
500;21;23;1;3;30;360082;1200;8.7
501;21;23;1;4;30;479596;1000;8.7
502;21;23;1;5;30;600606;1000;8.7
503;21;23;1;6;30;723106;1000;8.7
504;21;23;1;7;30;842181;1000;8.7
505;21;24;1;0;25;48236;1400;8.7
506;21;24;1;1;25;120527;1300;8.7
507;21;24;1;2;25;241759;1200;8.7
508;21;24;1;3;25;361148;1100;8.7
509;21;24;1;4;25;483971;900;8.7
510;21;24;1;5;25;602545;900;8.7
511;21;24;1;6;25;721524;800;8.7
512;21;24;1;7;25;839851;800;8.7
513;21;24;1;8;25;961638;800;8.7
514;21;24;1;9;25;1083795;600;8.7
515;21;24;1;10;25;1204882;600;8.7
516;21;24;1;11;25;1327744;600;8.7
517;21;24;1;12;25;1448228;600;8.7
518;21;24;1;13;25;1566657;600;8.7
519;21;24;1;14;25;1684864;600;8.7
520;21;24;1;15;25;1803264;600;8.7
521;21;24;1;16;25;1926242;600;8.7
522;21;24;1;17;25;2045930;500;8.7
523;21;24;1;18;25;2165763;500;8.7
524;21;24;1;19;25;2284722;500;8.7
525;21;24;1;20;25;2407589;500;8.7
526;21;24;1;21;25;2528628;500;8.7
527;21;24;1;22;25;2647235;400;8.7
528;21;25;1;0;25;48236;1400;8.7
529;21;25;1;1;25;121314;1400;8.7
530;21;25;1;2;25;242786;1400;8.7
531;21;25;1;3;25;364645;1300;8.7
532;21;25;1;4;25;486036;1100;8.7
533;21;25;1;5;25;604831;1100;8.7
534;21;25;1;6;25;727655;1000;8.7
535;21;25;1;7;25;846074;1000;8.7
536;21;25;1;8;25;966572;900;8.7
537;21;25;1;9;25;1086878;700;8.7
538;21;25;1;10;25;1207781;600;8.7
539;21;25;1;11;25;1326775;600;8.7
540;21;25;1;12;25;1449202;600;8.7
541;21;25;1;13;25;1569329;600;8.7
542;21;25;1;14;25;1690503;600;8.7
543;21;25;1;15;25;1811590;500;8.7
544;21;25;1;16;25;1931345;500;8.7
545;21;25;1;17;25;2051713;300;8.7
546;21;25;1;18;25;2173398;200;8.7
547;21;25;1;19;25;2293385;200;8.7
548;21;25;1;20;25;2414506;200;8.7
549;21;25;1;21;25;2534619;200;8.7
550;21;25;1;22;25;2655971;200;8.7
551;21;25;1;23;25;2778587;200;8.7
552;21;25;1;24;25;2900903;100;8.7
553;21;25;1;25;25;3019265;-200;8.7
554;21;25;1;25.1;25;2930494;100;8.7
555;21;25;1;25.2;25;2960084;100;8.7
556;21;25;1;25.3;25;2989675;0;8.7
557;21;26;0;0;0;48236;0;8.7
558;21;27;0;0;0;48236;0;8.7
559;21;28;0;0;0;48236;0;8.7
560;21;29;0;0;0;48236;0;8.7
561;21;30;0;0;0;48236;0;8.7
562;21;31;0;0;0;48236;0;8.7
563;21;32;12;0;25;48236;162;8.7
564;21;32;12;1;25;118728;154;8.7
565;21;32;12;2;25;241479;154;8.7
566;21;32;12;3;25;363357;154;8.7
567;21;32;12;4;25;485370;139;8.7
568;21;32;12;5;25;607301;108;8.7
569;21;32;12;6;25;726309;92;8.7
570;21;32;12;7;25;847019;85;8.7
571;21;32;12;8;25;966148;85;8.7
572;21;32;12;9;25;1084340;77;8.7
573;21;32;12;10;25;1205881;77;8.7
574;21;32;12;11;25;1327898;77;8.7
575;21;32;12;12;25;1448739;77;8.7
576;21;32;12;13;25;1568422;77;8.7
577;21;32;12;14;25;1687059;69;8.7
578;21;32;12;15;25;1806351;62;8.7
579;21;32;12;16;25;1926010;62;8.7
580;21;32;12;17;25;2046948;62;8.7
581;21;32;12;18;25;2165396;62;8.7
582;21;32;12;19;25;2287226;46;8.7
583;21;32;12;20;25;2381614;46;8.7
584;21;32;12;21;25;2476345;46;8.7
585;21;32;12;22;25;2571085;39;8.7
586;21;32;12;23;25;2655426;39;8.7
587;21;32;12;24;25;2741300;23;8.7
588;21;32;12;25;25;2825882;0;8.7
589;22;22;5;0;12;48236;300;5.73
590;22;22;5;1;12;209456;240;5.73
591;22;22;5;2;12;419902;200;5.73
592;22;22;5;3;12;629118;160;5.73
593;22;22;5;4;12;838320;120;5.73
594;22;22;5;5;12;1047525;120;5.73
595;22;22;5;6;12;1256255;100;5.73
596;22;22;5;7;12;1466419;80;5.73
597;22;22;5;8;12;1676320;20;5.73
598;22;22;5;9;12;1775640;20;5.73
599;22;22;5;10;12;1875068;20;5.73
600;22;22;5;11;12;1974888;20;5.73
601;22;22;5;12;12;2073853;-20;5.73
602;22;22;5;12.1;12;1999629;0;5.73
603;22;23;4;0;11;48236;400;5.73
604;22;23;4;1;11;209456;350;5.73
605;22;23;4;2;11;418497;300;5.73
606;22;23;4;3;11;627638;225;5.73
607;22;23;4;4;11;837002;175;5.73
608;22;23;4;5;11;1047040;175;5.73
609;22;23;4;6;11;1256681;125;5.73
610;22;23;4;7;11;1466018;125;5.73
611;22;23;4;8;11;1676510;50;5.73
612;22;23;4;11;11;2007576;0;5.73
613;22;24;0;0;0;48236;0;5.73
614;22;25;0;0;0;48236;0;5.73
615;22;26;0;0;0;48236;0;5.73
616;22;27;0;0;0;48236;0;5.73
617;22;28;0;0;0;48236;0;5.73
618;22;29;0;0;0;48236;0;5.73
619;22;30;0;0;0;48236;0;5.73
620;22;31;0;0;0;48236;0;5.73
621;22;32;0;0;0;48236;0;5.73
622;22;33;12;0;0;48236;175;5.73
623;22;33;12;1;10;209516;158;5.73
624;22;33;12;2;10;419483;142;5.73
625;22;33;12;3;10;628970;125;5.73
626;22;33;12;4;10;838494;75;5.73
627;22;33;12;5;10;1048226;42;5.73
628;22;33;12;6;10;1180875;42;5.73
629;22;33;12;7;10;1313271;25;5.73
630;22;33;12;8;10;1412596;17;5.73
631;22;33;12;9;10;1489329;17;5.73
632;22;33;12;10;10;1567029;0;5.73
