Date;close;open;high;low;
30.10.2019;15,5;15,5;15;15;
29.10.2019;15,5;15,5;15,02;15,02;
28.10.2019;15,5;16;15,98;15;
25.10.2019;16;16;15,8;15,04;
23.10.2019;16;16;15;15;
21.10.2019;16;16;15,85;15,85;
18.10.2019;16;16;15,85;15,85;
16.10.2019;16;16;15;15;
14.10.2019;16;16;16;16;
10.10.2019;16;16;16;16;
09.10.2019;16;16;16;16;
08.10.2019;16;16;16,4;15;
04.10.2019;15;15;14,31;14,31;
01.10.2019;15;15;14,31;14,31;
30.09.2019;15;15;14,37;14,31;
26.09.2019;15;15;14,36;14,36;
25.09.2019;15;15;15,44;14,31;
24.09.2019;15;15;15,6;14,24;
23.09.2019;15;15,5;16;14,2;
20.09.2019;15,5;17;16,9;15,01;
19.09.2019;17;19;18,3;15,2;
18.09.2019;19,5;19,5;19,77;19,77;
17.09.2019;19,5;20;19;19;
16.09.2019;20;20;19,15;19,1;
12.09.2019;20;20;19,15;19,15;
09.09.2019;20;19,5;19,95;19,95;
06.09.2019;19,5;20,5;20,49;19;
05.09.2019;20,5;20,5;20,8;20,2;
04.09.2019;20,5;20;21;19;
29.08.2019;19,7;19,7;19,75;19,75;
28.08.2019;19,7;19;19,84;19,07;
23.08.2019;19;19;19,7;19,7;
22.08.2019;19;19;18,75;18,7;
21.08.2019;19;19;19,9;18,7;
20.08.2019;19;21;20;18,25;
19.08.2019;21;21,5;21,5;20,3;
16.08.2019;21,5;22;21;21;
13.08.2019;22;22;22,44;21;
09.08.2019;22,5;22,5;22;22;
06.08.2019;22,5;22,5;22,75;22,05;
05.08.2019;22,5;22,5;22,85;22;
02.08.2019;22,5;22,5;22,5;22;
01.08.2019;22,5;22,5;23;22,5;
31.07.2019;22,5;22,5;22,9;22,9;
30.07.2019;22,5;22,5;22,11;22,11;
29.07.2019;22,5;22,5;22,9;22,5;
26.07.2019;22,5;22,5;22,9;22,5;
25.07.2019;22,5;22,5;22,99;22,05;
24.07.2019;22,5;22,5;22,56;22;
23.07.2019;22,5;23;22,2;22,2;
22.07.2019;23;23;23;23;
19.07.2019;23;22,5;23;23;
18.07.2019;22,5;23;23;22;
17.07.2019;23;24;23;22;
15.07.2019;24;24;23,1;23;
11.07.2019;24;24;23,5;23,5;
10.07.2019;24;24;23,5;23,5;
09.07.2019;24;25;23,5;23,5;
08.07.2019;25;25;24;24;
04.07.2019;25;25;24,8;24,1;
03.07.2019;25;25;24,1;24,1;
02.07.2019;25;25;24,9;24,1;
01.07.2019;25;25;24;24;
28.06.2019;25;25;24,1;24,1;
27.06.2019;25;25;24,1;24,1;
25.06.2019;25;25;24,95;24,15;
24.06.2019;25;25;25,38;24,1;
20.06.2019;25;25;24,95;24,1;
19.06.2019;25;26;25,4;24,1;
18.06.2019;26;26;25,77;25;
14.06.2019;26;26;26,5;25,1;
13.06.2019;26;27;27;25,3;
12.06.2019;27;27,5;27;26,2;
11.06.2019;27,5;27,5;27,39;27,05;
10.06.2019;27,5;27,5;27,39;27,2;
07.06.2019;27,5;27,5;27,39;27;
06.06.2019;27,5;28;28,5;27,39;
05.06.2019;28;28;28;28;
04.06.2019;28;28;27,5;27,5;
03.06.2019;28;27,5;28;27,39;
31.05.2019;27,5;27,5;27,38;27,38;
30.05.2019;27,5;27;28;27,7;
29.05.2019;27;27,5;27,85;26,2;
23.05.2019;27,5;28;27,3;27,3;
22.05.2019;28;28;29;27,3;
21.05.2019;28;27;28;27;
20.05.2019;27;27;29;26,7;
17.05.2019;27;26,5;26,95;26,95;
16.05.2019;26,5;26,5;27;26,25;
15.05.2019;26,5;26;27,75;26,25;
14.05.2019;26;26;27;25,41;
13.05.2019;26;25;27;25,25;
10.05.2019;25;25;24,39;24,3;
09.05.2019;25;25;25,45;24,39;
08.05.2019;25;25;25,9;25,9;
07.05.2019;25;24;25;23,2;
03.05.2019;24;23,5;24;24;
02.05.2019;23,5;24;24;23;
01.05.2019;24;23,5;23,9;23,15;
30.04.2019;23,5;23,5;23,31;23,31;
29.04.2019;23,5;23,5;23,3;23,3;
25.04.2019;23,5;23,5;23,28;23,25;
24.04.2019;23,5;23,5;24;24;
23.04.2019;23,5;23,5;24;23,2;
18.04.2019;23,5;23,5;24;23,12;
17.04.2019;23,5;23,5;23,12;23,12;
16.04.2019;23,5;23,5;23,69;23,1;
15.04.2019;23,5;23,5;23,9;23;
12.04.2019;23,5;22,5;23,9;22,25;
11.04.2019;22,5;23;22;22;
10.04.2019;23;26,5;26,75;22,3;
09.04.2019;25;25,5;25,5;24,1;
08.04.2019;25,5;25,5;25,01;25;
05.04.2019;25,5;25,5;25,6;25,01;
04.04.2019;25,5;25,5;25,01;25,01;
03.04.2019;25,5;25,5;25;25;
02.04.2019;25,5;25,5;25,1;25,1;
01.04.2019;25,5;25,5;25,95;25;
29.03.2019;25,5;25,5;25,8;25,03;
28.03.2019;25,5;26;25,06;25,03;
26.03.2019;26;26;25,2;25,2;
25.03.2019;26;26,5;26,7;25,1;
21.03.2019;26,5;26,5;26,95;26,1;
20.03.2019;26,5;26,5;26,1;26,1;
15.03.2019;26,5;26;26,8;26,1;
14.03.2019;26;26;25,4;25,4;
13.03.2019;26;26;25,4;25,4;
12.03.2019;26;26,5;25,4;25,4;
11.03.2019;26,5;26,2;26,95;26,95;
08.03.2019;26,2;26;26,72;26,72;
06.03.2019;26;25,5;25,84;25,3;
05.03.2019;25,5;26;25,3;25,15;
04.03.2019;26;26;25,3;25,3;
01.03.2019;26;26;26,5;25;
28.02.2019;26;26;25,3;25,3;
27.02.2019;26;26,5;26,05;25,2;
26.02.2019;26,5;27;26,1;26;
22.02.2019;27;27;26,2;26,2;
21.02.2019;27;27;27,9;27,9;
20.02.2019;27;27;26,2;26,2;
15.02.2019;27;27;27,6;27,6;
13.02.2019;27;27;26,2;26,2;
08.02.2019;27;26;26,95;26,76;
07.02.2019;26;26;25,5;25,5;
05.02.2019;26;26;26,5;26,5;
04.02.2019;26;27;27,4;26;
01.02.2019;27;27;26,35;26,35;
31.01.2019;27;27;27,7;26,3;
30.01.2019;27;27;27,5;26,2;
29.01.2019;27;27;26,5;26,3;
25.01.2019;27;27;26,5;26,5;
24.01.2019;27;27;28;26,5;
23.01.2019;27;27,5;28;27;
22.01.2019;27,5;27,5;27;27;
21.01.2019;27,5;28;28;27;
18.01.2019;28;28;27,11;27,11;
17.01.2019;28;28;28,5;28,5;
16.01.2019;28;28,3;27,5;27,11;
15.01.2019;28,3;28,5;28,7;27,6;
14.01.2019;28,5;28;28,7;28;
11.01.2019;28;28;28,58;27,11;
10.01.2019;28;28,5;28,04;28,04;
09.01.2019;28,5;27;29;28;
08.01.2019;27;27;28;28;
07.01.2019;27;26;28;25,4;
04.01.2019;26;26;25,1;25,1;
03.01.2019;26;26,5;26;26;
02.01.2019;26,5;26,5;26;26;
27.12.2018;26,5;26,5;26;26;
21.12.2018;26,5;26,5;27;27;
19.12.2018;26,5;27;26;26;
17.12.2018;27;27;26,55;26,55;
14.12.2018;27;27;28;27;
12.12.2018;27;27;26,5;26,3;
11.12.2018;27;27;27,9;26,65;
10.12.2018;27;27;27,9;27,9;
07.12.2018;27;27;27,5;26,58;
06.12.2018;27;27,5;27,5;26,58;
05.12.2018;27,5;27,5;28;27;
04.12.2018;27,5;27,5;27,7;27;
03.12.2018;27,5;26,8;28,8;27;
30.11.2018;26,8;26,5;27;26;
29.11.2018;26,5;26;28,75;26;
28.11.2018;26;25;25,91;24,22;
