Date,close,open,high,low
43991,41.18,41.1,41.45,39.85
43992,41.73,40.72,41.99,40.14
43993,38.55,40.95,41.01,37.82
43994,38.73,37.88,39.45,37.01
43997,39.72,38.8,39.9,37.24
43998,40.96,39.94,41.65,38.95
43999,40.71,40.61,41.46,40.03
44000,41.51,40.43,41.64,40.06
44001,42.19,41.72,42.92,41.03
44004,43.08,41.74,43.18,41.58
44005,42.63,43.21,43.93,42.21
44006,40.31,42.45,42.89,39.63
44007,41.05,40.35,41.64,39.47
44008,41.02,41.44,41.81,40.29
44011,41.71,40.56,41.95,40.04
44012,41.15,41.33,41.62,40.9
44013,42.03,41.58,42.62,41.03
44014,43.14,41.84,43.23,41.73
44015,42.8,42.76,42.99,42.32
44018,43.1,42.79,43.71,42.74
44019,43.08,43.13,43.45,42.46
44020,43.29,42.81,43.47,42.75
44021,42.35,43.3,43.5,41.94
44022,43.24,42.36,43.42,41.32
44025,42.72,43.12,43.34,42.14
44026,42.9,42.24,43.22,41.8
44027,43.79,43.07,43.85,42.7
44028,43.37,43.71,43.8,43.14
44029,43.14,43.4,43.45,42.64
44032,43.28,43.08,43.45,42.36
44033,44.32,43.17,44.89,43.16
44034,44.29,44.03,44.4,43.62
44035,43.31,44.1,44.77,43.13
44036,43.34,43.27,43.9,42.79
44039,43.41,43.35,43.77,42.39
44040,43.22,43.55,43.84,43
44041,43.75,43.31,43.95,43.2
44042,42.94,43.73,43.8,41.38
44043,43.3,43.29,43.44,43.05
44046,44.15,43.53,44.46,42.89
44047,44.43,43.84,44.82,43.24
44048,45.17,44.28,46.23,44.24
44049,45.09,45.32,45.71,44.85
44050,44.4,45.15,45.3,44.27
44053,44.99,44.66,45.26,44.37
44054,44.5,45.05,45.79,44.39
44055,45.43,44.62,45.63,44.49
44056,44.96,45.32,45.58,44.82
44057,44.8,45.29,45.29,44.47
44060,45.37,44.86,45.41,44.53
44061,45.46,45.27,45.55,44.76
44062,45.37,45.17,45.48,44.81
44063,44.9,45.14,45.18,44.02
44064,44.35,45.03,45.08,43.59
44067,45.13,44.5,45.18,44.29
44068,45.86,45.12,46.07,45.08
44069,45.64,45.97,46.1,45.54
44070,45.09,45.7,45.87,44.56
44071,45.05,45.1,45.3,44.8
44074,45.28,45.8,46.53,45.21
44075,45.58,45.6,46.22,45.47
44076,44.43,45.83,46.05,44.2
44077,44.07,44.65,44.65,43.15
44078,42.66,43.76,44.54,42.3
44081,42.01,42.2,42.43,41.51
44082,39.78,42.08,42.23,39.31
44083,40.79,39.65,41.2,39.37
44084,40.06,40.58,40.96,39.71
44085,39.83,39.96,40.34,39.38
44088,39.61,39.78,40.09,39.3
44089,40.53,39.7,40.82,39.39
44090,42.22,40.72,42.44,40.59
44091,43.3,42.32,43.5,41.5
44092,43.15,43.22,43.8,42.53
44095,41.44,43.01,43.3,40.96
44096,41.72,41.79,42.2,41.21
44097,41.77,41.67,42.62,41.21
44098,41.94,41.36,42.02,41.27
44099,41.92,41.85,42.33,41.52
44102,42.43,41.87,42.62,41.48
44103,41.03,42.47,42.52,40.43
44104,40.95,40.66,40.98,40.3
44105,40.93,42.17,42.56,39.92
44106,39.27,40.65,40.77,38.79
44109,41.29,39.19,41.78,39.14
44110,42.65,41.41,42.84,41.22
44111,41.99,41.85,42.42,41.36
